,non_missing_count,number_of_categories,most_common_category,most_common_count
name,28795,4854,Room in Christchurch,23
host_name,28794,1422,Paula Kat Charlotte,1561
neighbourhood_group,28795,1,Christchurch City,28795
neighbourhood,28795,16,Central Ward,10554
room_type,28795,4,Entire home/apt,22765
last_review,26168,745,2026-02-28,364
month_year,28795,9,2026-06,3469
