Location Id,Airbnb_Observations,Median_Price_Gap,Mean_Price_Gap,Maximum_Price_Gap,Minimum_Price_Gap
322800.0,6,241.78571428571428,241.14285714285714,315.57142857142856,162.71428571428572
328800.0,8,228.78571428571428,203.73214285714286,383.14285714285717,-4.714285714285715
322600.0,73,214.42857142857144,244.70254403131113,933.4285714285714,-7.857142857142861
332700.0,339,207.71428571428572,312.08428150021075,1805.5714285714287,-28.57142857142857
324200.0,3,199.14285714285714,235.47619047619048,465.14285714285717,42.142857142857146
322100.0,86,194.85714285714286,208.92691029900334,843.4285714285714,-16.14285714285714
317400.0,26,189.21428571428572,339.72527472527474,1096.7142857142858,-15.57142857142857
330500.0,41,189.14285714285714,222.72822299651568,628.1428571428571,4.142857142857139
319400.0,20,189.0,169.1142857142857,324.0,17.85714285714286
322500.0,41,185.0,171.05923344947735,357.8571428571429,-36.71428571428571
325700.0,727,182.0,221.88111613283553,1821.0,-22.14285714285714
322300.0,2,176.14285714285714,176.14285714285714,192.28571428571428,160.0
321200.0,10,173.85714285714286,152.75714285714287,204.71428571428572,24.0
324100.0,29,173.42857142857144,163.64532019704436,330.42857142857144,-34.57142857142857
320300.0,12,173.28571428571428,155.45238095238093,212.42857142857144,44.71428571428571
332100.0,145,171.85714285714286,193.70935960591135,708.4285714285714,-20.714285714285708
326800.0,120,171.21428571428572,187.18928571428572,516.7142857142857,-3.714285714285708
323600.0,26,164.28571428571428,286.95604395604397,922.0,57.0
326600.0,713,163.42857142857144,361.04568222801043,43580.0,17.0
325800.0,973,163.14285714285714,185.80722360886801,993.5714285714286,-24.42857142857143
327000.0,1771,162.42857142857144,186.38122126320886,1329.4285714285713,-38.0
323800.0,156,161.42857142857142,180.71520146520146,564.5714285714286,-19.85714285714286
323000.0,337,156.28571428571428,209.0517168291649,1727.2857142857142,-9.0
320700.0,35,155.0,141.48979591836735,359.8571428571429,-25.0
326100.0,205,152.85714285714286,193.71219512195123,2118.8571428571427,-2.142857142857146
323900.0,226,152.14285714285717,200.59544879898863,1312.4285714285713,16.42857142857143
324400.0,184,152.14285714285717,194.49689440993788,1103.857142857143,-38.57142857142857
329600.0,78,151.35714285714286,163.84798534798534,385.42857142857144,5.714285714285715
327700.0,31,147.57142857142856,156.0,642.4285714285714,-46.42857142857143
321600.0,1,147.42857142857144,147.42857142857144,147.42857142857144,147.42857142857144
326400.0,71,146.57142857142856,155.1529175050302,391.42857142857144,66.57142857142857
320900.0,37,142.0,154.57528957528956,555.0,-2.285714285714292
323300.0,141,140.57142857142856,157.3161094224924,920.7142857142857,-14.42857142857143
316800.0,31,140.42857142857144,349.17050691244236,1138.0,41.42857142857143
322900.0,91,140.14285714285714,168.56043956043956,1060.142857142857,-65.0
324800.0,262,130.78571428571428,157.5485278080698,611.2857142857143,-35.71428571428571
331000.0,9,129.71428571428572,128.3809523809524,254.71428571428572,66.71428571428571
321500.0,53,128.57142857142856,138.73854447439354,608.0,-39.0
325200.0,142,125.28571428571428,132.33098591549296,434.1428571428571,-19.57142857142857
321000.0,46,125.14285714285714,158.84782608695653,559.8571428571429,-15.857142857142861
319800.0,43,120.85714285714286,135.80066445182726,449.0,-33.28571428571429
327100.0,1483,119.71428571428572,139.94634428282438,1185.5714285714287,2.714285714285708
323100.0,64,119.71428571428571,179.25,598.5714285714286,-30.285714285714292
322400.0,107,119.42857142857143,179.53671562082778,972.4285714285714,-59.14285714285714
325400.0,35,116.57142857142857,129.19591836734693,561.2857142857143,-21.42857142857143
329800.0,5,113.28571428571429,107.62857142857142,146.71428571428572,45.714285714285715
322200.0,111,112.14285714285714,165.53410553410552,650.0,-14.857142857142861
323200.0,146,110.71428571428572,123.8238747553816,1072.4285714285713,-14.0
329700.0,71,110.42857142857143,126.6056338028169,369.8571428571429,-26.14285714285714
319700.0,47,110.28571428571429,145.46808510638297,602.2857142857143,-46.85714285714286
316600.0,71,107.85714285714286,251.59154929577466,2005.2857142857142,-38.14285714285714
320200.0,77,106.71428571428571,114.84972170686457,496.7142857142857,-58.14285714285714
321800.0,74,105.42857142857143,91.47104247104248,304.0,-64.57142857142857
331700.0,100,104.92857142857143,146.15714285714287,1136.2857142857142,2.0
320800.0,36,103.14285714285714,280.06349206349205,952.1428571428571,-18.285714285714292
317000.0,16,103.0,143.4375,424.0,30.0
332000.0,177,102.57142857142857,157.55690072639226,913.8571428571429,-14.142857142857139
330900.0,8,102.14285714285714,102.32142857142857,162.14285714285714,51.14285714285714
330200.0,246,102.0,112.58594657375146,442.42857142857144,-39.0
328100.0,85,100.71428571428571,125.17310924369748,1145.7142857142858,-14.285714285714292
328900.0,178,99.5,109.7182985553772,294.8571428571429,-28.0
322700.0,228,97.0,104.94172932330827,313.0,-41.28571428571429
329100.0,111,95.0,138.9150579150579,929.5714285714286,-29.42857142857143
331400.0,70,94.71428571428572,185.88163265306125,1562.7142857142858,-4.571428571428569
327200.0,72,94.28571428571429,104.24007936507937,494.7142857142857,-35.0
330800.0,45,92.71428571428571,89.34285714285714,215.71428571428572,-11.714285714285708
329400.0,87,92.71428571428571,127.2200328407225,578.7142857142857,-39.28571428571429
318800.0,23,92.0,121.32298136645963,310.0,35.57142857142857
326000.0,9,91.85714285714286,102.41269841269842,203.85714285714286,21.85714285714286
325000.0,64,89.92857142857143,110.74776785714286,351.1428571428571,-43.57142857142857
329500.0,19,89.42857142857143,74.38345864661655,142.42857142857144,-25.57142857142857
327400.0,98,87.28571428571429,98.42711370262391,365.2857142857143,-27.714285714285708
327600.0,94,86.92857142857143,96.52887537993921,332.57142857142856,-33.71428571428571
321400.0,65,86.42857142857143,190.04835164835166,829.0,-18.85714285714286
332400.0,113,85.71428571428571,185.9962073324905,908.5714285714286,-52.42857142857143
330300.0,90,82.21428571428571,148.47936507936507,854.5714285714286,-18.42857142857143
325100.0,14,80.71428571428572,116.0,274.0,-27.14285714285714
328700.0,36,76.78571428571428,89.86507936507937,197.14285714285714,0.1428571428571388
318000.0,41,76.0,126.00348432055749,595.0,-13.714285714285708
331100.0,45,74.57142857142857,60.83174603174602,151.57142857142856,-13.857142857142861
318100.0,9,73.57142857142857,130.85714285714283,375.1428571428571,-16.85714285714286
331300.0,141,70.71428571428571,238.8561296859169,2939.714285714286,-36.57142857142857
329300.0,42,69.85714285714286,104.83673469387755,410.0,-3.0
